ident;lat;long;y_proj;x_proj;ingreso_economico
1.29.171-5; ; ;-1.516416327;20763369.87;C
1.29.171-5;-16.31324473;-71.66601617;-1929389.251;2824729.203;C
1.29.171-5;-16.31302466;-71.66584523;-1929365.544;2824751.419;C
1.29.171-5;-16.31158194;-71.66507035;-1929205.825;2824857.858;C
1.29.171-5;-16.31126049;-71.66571803;-1929160.029;2824788.577;C
1.29.171-5;-16.31284497;-71.6665708;-1929335.42;2824671.481;C
1.29.171-9; ; ;-1.516416327;20763369.87;C
1.29.171-9;-16.31189823;-71.66422665;-1929253.457;2824949.429;C
1.29.171-9;-16.31029985;-71.66337002;-1929076.481;2825067.144;C
1.29.171-9;-16.30994595;-71.66403797;-1929026.622;2824995.982;C
1.29.171-9;-16.31156136;-71.66488905;-1929205.666;2824878.677;C
1.29.171-10; ; ;-1.516416327;20763369.87;C
1.29.171-10;-16.31150066;-71.66500693;-1929197.074;2824866.095;C
1.29.171-10;-16.3098879;-71.66415477;-1929018.353;2824983.488;C
1.29.171-10;-16.30955999;-71.66481597;-1928971.631;2824912.755;C
1.29.171-10;-16.31113789;-71.66567491;-1929146.173;2824795.044;C
1.29.171-12; ; ;-1.516416327;20763369.87;C
1.29.171-12;-16.30979409;-71.66408121;-1929008.256;2824993.037;C
1.29.171-12;-16.30794876;-71.66308676;-1928804.004;2825129.559;C
1.29.171-12;-16.30760299;-71.66377065;-1928754.901;2825056.482;C
1.29.171-12;-16.30943901;-71.66474365;-1928958.328;2824922.513;C
1.29.171-13; ; ;-1.516416327;20763369.87;C
1.29.171-13;-16.31015888;-71.66331792;-1929060.58;2825074.868;C
1.29.171-13;-16.30834523;-71.66233912;-1928859.852;2825209.209;C
1.29.171-13;-16.30801404;-71.66299475;-1928812.812;2825139.148;C
1.29.171-13;-16.30983886;-71.66402739;-1929014.181;2824998.561;C
1.29.171-31; ; ;-1.516416327;20763369.87;C
1.29.171-31;-16.29708738;-71.65733761;-1927600.455;2825921.327;C
1.29.171-31;-16.29586199;-71.65668001;-1927464.776;2826011.675;C
1.29.171-31;-16.29558972;-71.65720584;-1927426.269;2825955.562;C
1.29.171-31;-16.29681139;-71.6578785;-1927561.324;2825863.555;C
1.29.171-38; ; ;-1.516416327;20763369.87;C
1.29.171-38;-16.29352278;-71.65385299;-1927225.325;2826362.353;C
1.29.171-38;-16.2937717;-71.65433392;-1927248.565;2826304.614;C
1.29.171-38;-16.2941395;-71.65388814;-1927297.291;2826350.421;C
1.29.171-38;-16.29395992;-71.65359646;-1927279.838;2826385.807;C
1.29.171-38;-16.29368322;-71.65311228;-1927253.377;2826444.272;C
1.29.171-38;-16.29317685;-71.65246157;-1927202.024;2826524.578;C
1.29.171-38;-16.29281552;-71.65267092;-1927156.999;2826505.496;C
1.29.173-1; ; ;-1.516416327;20763369.87;C
1.29.173-1;-16.29470801;-71.65687295;-1927326.898;2826004.664;C
1.29.173-1;-16.29439454;-71.65666271;-1927292.712;2826032.54;C
1.29.173-1;-16.29407914;-71.65719802;-1927249.024;2825975.907;C
1.29.173-1;-16.29439247;-71.65738238;-1927283.516;2825950.968;C
1.29.173-2; ; ;-1.516416327;20763369.87;C
1.29.173-2;-16.29434039;-71.65746846;-1927276.332;2825941.879;C
1.29.173-2;-16.29402309;-71.65729495;-1927241.238;2825965.639;C
1.29.173-2;-16.29378025;-71.65773516;-1927207.253;2825918.854;C
1.29.173-2;-16.29409743;-71.65792998;-1927242.066;2825892.679;C
1.29.173-3; ; ;-1.516416327;20763369.87;C
1.29.173-3;-16.29348268;-71.65823899;-1927166.051;2825865.56;C
1.29.173-3;-16.29378752;-71.65842508;-1927199.524;2825840.534;C
1.29.173-3;-16.29405126;-71.65800759;-1927235.68;2825884.474;C
1.29.173-3;-16.29374686;-71.65782761;-1927202.183;2825908.801;C
1.29.173-6; ; ;-1.516416327;20763369.87;C
1.29.173-6;-16.29444539;-71.65824737;-1927278.968;2825852.211;C
1.29.173-6;-16.29411695;-71.6580518;-1927242.843;2825878.615;C
1.29.173-6;-16.29387459;-71.65847076;-1927209.178;2825834.234;C
1.29.173-6;-16.29418333;-71.65865866;-1927243.086;2825808.952;C
1.29.173-8; ; ;-1.516416327;20763369.87;C
1.29.173-8;-16.29508432;-71.65704598;-1927368.925;2825980.197;C
1.29.173-8;-16.29479884;-71.65691012;-1927337.1;2825999.279;C
1.29.173-8;-16.2944929;-71.65742183;-1927294.816;2825945.201;C
1.29.173-8;-16.29478776;-71.65762088;-1927326.956;2825918.834;C
1.29.173-9; ; ;-1.516416327;20763369.87;C
1.29.173-9;-16.2955015;-71.65726162;-1927415.218;2825950.374;C
1.29.173-9;-16.29517123;-71.65708575;-1927378.633;2825974.568;C
1.29.173-9;-16.29486895;-71.65767187;-1927335.854;2825912.007;C
1.29.173-9;-16.29517172;-71.65787134;-1927368.916;2825885.489;C
1.29.173-16; ; ;-1.516416327;20763369.87;C
1.29.173-16;-16.29555042;-71.65807838;-1927410.8;2825857.136;C
1.29.173-16;-16.29591063;-71.65749808;-1927460.308;2825918.293;C
1.29.173-16;-16.29558747;-71.65731146;-1927424.691;2825943.614;C
1.29.173-16;-16.29523821;-71.65789828;-1927376.388;2825881.579;C
1.29.173-17; ; ;-1.516416327;20763369.87;C
1.29.173-17;-16.29629188;-71.65770275;-1927502.521;2825890.175;C
1.29.173-17;-16.29599577;-71.6575411;-1927469.768;2825912.318;C
1.29.173-17;-16.29562964;-71.65812909;-1927419.469;2825850.367;C
1.29.173-17;-16.29594771;-71.65831875;-1927454.451;2825824.766;C
1.29.173-22; ; ;-1.516416327;20763369.87;C
1.29.173-22;-16.29594538;-71.65952985;-1927439.111;2825687.479;C
1.29.173-22;-16.29523113;-71.65927309;-1927358.454;2825725.791;C
1.29.173-22;-16.2951225;-71.65963684;-1927341.176;2825685.947;C
1.29.173-22;-16.29581491;-71.65990545;-1927419.122;2825646.574;C
1.29.173-23; ; ;-1.516416327;20763369.87;C
1.29.173-23;-16.29667692;-71.6598151;-1927521.444;2825645.714;C
1.29.173-23;-16.29600466;-71.65955486;-1927445.759;2825683.88;C
1.29.173-23;-16.29588721;-71.65992213;-1927427.402;2825643.751;C
1.29.173-23;-16.29656501;-71.66017011;-1927503.889;2825606.904;C
1.29.173-25; ; ;-1.516416327;20763369.87;C
1.29.173-25;-16.29694933;-71.65905012;-1927562.941;2825728.939;C
1.29.173-25;-16.29630407;-71.65866296;-1927492.005;2825781.147;C
1.29.173-25;-16.29618158;-71.65903698;-1927472.972;2825740.318;C
1.29.173-25;-16.29686577;-71.65928375;-1927550.224;2825703.526;C
1.29.173-26; ; ;-1.516416327;20763369.87;C
1.29.173-26;-16.29691445;-71.65802782;-1927571.565;2825845.297;C
1.29.173-26;-16.29657605;-71.65785983;-1927533.927;2825868.704;C
1.29.173-26;-16.29633498;-71.65857847;-1927496.685;2825790.329;C
1.29.173-26;-16.29666755;-71.65878196;-1927533.197;2825762.973;C
1.29.173-28; ; ;-1.516416327;20763369.87;C
1.29.173-28;-16.29757575;-71.65836616;-1927644.991;2825798.417;C
1.29.173-28;-16.297317;-71.65825302;-1927616.022;2825814.578;C
1.29.173-28;-16.2970501;-71.65899873;-1927575.411;2825733.467;C
1.29.173-28;-16.29730277;-71.65915513;-1927603.128;2825712.479;C
1.29.173-33; ; ;-1.516416327;20763369.87;C
1.29.173-33;-16.29868517;-71.65903577;-1927766.904;2825708.203;C
1.29.173-33;-16.29802425;-71.65864048;-1927694.231;2825761.537;C
1.29.173-33;-16.29775551;-71.65943753;-1927652.765;2825674.629;C
1.29.173-33;-16.29840148;-71.65984377;-1927723.546;2825620.247;C
1.29.173-36; ; ;-1.516416327;20763369.87;C
1.29.173-36;-16.29897573;-71.66063353;-1927781.137;2825523.308;C
1.29.173-36;-16.29829829;-71.66039383;-1927704.589;2825559.211;C
1.29.173-36;-16.29818738;-71.6607499;-1927687.138;2825520.269;C
1.29.173-36;-16.29886083;-71.66099338;-1927763.171;2825483.989;C
1.29.173-38; ; ;-1.516416327;20763369.87;C
1.29.173-38;-16.29938338;-71.65945499;-1927843.656;2825651.677;C
1.29.173-38;-16.2987553;-71.65907093;-1927774.7;2825703.313;C
1.29.173-38;-16.29846192;-71.65989324;-1927730.027;2825613.86;C
1.29.173-38;-16.29911715;-71.66027883;-1927802.152;2825561.701;C
1.29.173-39; ; ;-1.516416327;20763369.87;C
1.29.173-39;-16.29977823;-71.65968842;-1927887.106;2825620.124;C
1.29.173-39;-16.29945216;-71.65949057;-1927851.289;2825646.758;C
1.29.173-39;-16.29918491;-71.66033395;-1927809.42;2825554.579;C
1.29.173-39;-16.29949827;-71.66052538;-1927843.826;2825528.838;C
1.29.173-46; ; ;-1.516416327;20763369.87;C
1.29.173-46;-16.30136852;-71.66064557;-1928061.892;2825491.115;C
1.29.173-46;-16.30103667;-71.66043918;-1928025.502;2825518.792;C
1.29.173-46;-16.30093349;-71.66080575;-1928008.829;2825478.56;C
1.29.173-46;-16.3012503;-71.66102542;-1928043.287;2825449.573;C
1.29.173-56; ; ;-1.516416327;20763369.87;C
1.29.173-56;-16.3036093;-71.66250515;-1928301.812;2825251.414;C
1.29.173-56;-16.30328105;-71.66232311;-1928265.542;2825276.282;C
1.29.173-56;-16.30315554;-71.66269581;-1928246.17;2825235.645;C
1.29.173-56;-16.30348;-71.66284259;-1928282.434;2825214.824;C
1.29.173-62; ; ;-1.516416327;20763369.87;C
1.29.173-62;-16.3038762;-71.66316815;-1928324.895;2825172.809;C
1.29.173-62;-16.30351321;-71.6630267;-1928284.042;2825193.523;C
1.29.173-62;-16.30326987;-71.66379316;-1928245.938;2825109.761;C
1.29.173-62;-16.30363311;-71.66393453;-1928286.822;2825089.054;C
1.29.173-64; ; ;-1.516416327;20763369.87;C
1.29.173-64;-16.30303154;-71.66280292;-1928230.28;2825225.099;C
1.29.173-64;-16.30268991;-71.66266923;-1928191.839;2825244.658;C
1.29.173-64;-16.30242239;-71.66350011;-1928150.095;2825153.904;C
1.29.173-64;-16.30276158;-71.66363904;-1928188.186;2825133.783;C
1.29.173-67; ; ;-1.516416327;20763369.87;C
1.29.173-67;-16.301799;-71.66223354;-1928092.67;2825305.532;C
1.29.173-67;-16.30144784;-71.6621175;-1928052.891;2825323.212;C
1.29.173-67;-16.30112482;-71.663036;-1928003.542;2825223.238;C
1.29.173-67;-16.30147576;-71.66316248;-1928043.167;2825204.378;C
1.29.173-68; ; ;-1.516416327;20763369.87;C
1.29.173-68;-16.30136144;-71.66208613;-1928043.137;2825327.882;C
1.29.173-68;-16.30102215;-71.66196078;-1928004.866;2825346.464;C
1.29.173-68;-16.30070824;-71.66287533;-1927956.635;2825246.82;C
1.29.173-68;-16.30104395;-71.66299765;-1927994.525;2825228.628;C
1.29.173-74; ; ;-1.516416327;20763369.87;C
1.29.173-74;-16.30141542;-71.66339272;-1928033.219;2825179.051;C
1.29.173-74;-16.30105807;-71.66322159;-1927993.396;2825203.057;C
1.29.173-74;-16.30079622;-71.66405251;-1927952.32;2825112.224;C
1.29.173-74;-16.30113925;-71.66419575;-1927990.807;2825091.566;C
1.29.173-93; ; ;-1.516416327;20763369.87;C
1.29.173-93;-16.30554811;-71.66589208;-1928487.274;2824842.452;C
1.29.173-93;-16.30470092;-71.6655863;-1928391.625;2824888.033;C
1.29.173-93;-16.30457109;-71.66596422;-1928371.681;2824846.86;C
1.29.173-93;-16.30541236;-71.66625505;-1928466.822;2824803.051;C
1.29.173-97; ; ;-1.516416327;20763369.87;C
1.29.173-97;-16.30632814;-71.66516117;-1928587.939;2824915.265;C
1.29.173-97;-16.30593846;-71.66501721;-1928543.984;2824936.607;C
1.29.173-97;-16.3057047;-71.66579246;-1928506.896;2824851.728;C
1.29.173-97;-16.30605966;-71.66592878;-1928546.87;2824831.7;C
1.29.173-98; ; ;-1.516416327;20763369.87;C
1.29.173-98;-16.30683042;-71.66533822;-1928644.699;2824888.721;C
1.29.173-98;-16.30645108;-71.66520338;-1928601.845;2824908.896;C
1.29.173-98;-16.30617237;-71.66599007;-1928559.339;2824823.3;C
1.29.173-98;-16.30654711;-71.66611396;-1928601.789;2824804.427;C
1.29.173-99; ; ;-1.516416327;20763369.87;C
1.29.173-99;-16.30646225;-71.66624414;-1928590.207;2824790.762;C
1.29.173-99;-16.30566307;-71.66593921;-1928500.183;2824835.628;C
1.29.173-99;-16.30551946;-71.66627412;-1928479.158;2824799.509;C
1.29.173-99;-16.30635142;-71.66657857;-1928573.036;2824754.275;C
