ident;lat;long;y_proj;x_proj;ingreso_economico
1.5.8-1; ; ;-1.516416327;20763369.87;B
1.5.8-1;-16.46349316;-71.49328648;-1949203.126;2842355.857;B
1.5.8-1;-16.46354719;-71.493294;-1949209.377;2842354.295;B
1.5.8-1;-16.46372624;-71.49328811;-1949230.487;2842352.611;B
1.5.8-1;-16.46371716;-71.49309588;-1949231.856;2842374.522;B
1.5.8-1;-16.46366797;-71.49293289;-1949228.143;2842393.646;B
1.5.8-1;-16.46357849;-71.49282239;-1949219.031;2842407.348;B
1.5.8-1;-16.46343913;-71.49265088;-1949204.832;2842428.62;B
1.5.8-1;-16.46328093;-71.49245511;-1949188.727;2842452.891;B
1.5.8-1;-16.46292175;-71.49279018;-1949142.283;2842419.623;B
1.5.8-1;-16.46333931;-71.49325835;-1949185.407;2842361.066;B
1.5.8-5; ; ;-1.516416327;20763369.87;B
1.5.8-5;-16.46322987;-71.4924006;-1949183.419;2842459.741;B
1.5.8-5;-16.46317736;-71.49225452;-1949179.1;2842476.991;B
1.5.8-5;-16.46278838;-71.4923613;-1949132.049;2842469.994;B
1.5.8-5;-16.46270624;-71.49224898;-1949123.822;2842483.805;B
1.5.8-5;-16.46263577;-71.49214293;-1949116.887;2842496.753;B
1.5.8-5;-16.46260238;-71.49203506;-1949114.33;2842509.42;B
1.5.8-5;-16.46255367;-71.49185751;-1949110.857;2842530.188;B
1.5.8-5;-16.4623142;-71.49192732;-1949081.84;2842525.418;B
1.5.8-5;-16.46243644;-71.49215475;-1949093.319;2842498.03;B
1.5.8-5;-16.46253871;-71.49234584;-1949102.913;2842475.025;B
1.5.8-5;-16.46269208;-71.49255259;-1949118.312;2842449.572;B
1.5.8-5;-16.46284924;-71.49273679;-1949134.441;2842426.627;B
1.5.20-6; ; ;-1.516416327;20763369.87;B
1.5.20-6;-16.4625506;-71.49511099;-1949069.277;2842161.4;B
1.5.20-6;-16.46282916;-71.49471556;-1949107.012;2842202.57;B
1.5.20-6;-16.46302067;-71.49445366;-1949132.829;2842229.745;B
1.5.20-6;-16.46306368;-71.49433266;-1949139.415;2842242.898;B
